stay_date,occ,adr,revpar
6/26/18,0.986591226,326.5279703,322.1496306
6/27/18,0.988246267,310.2900697,306.643003
6/28/18,0.983339017,269.262683,264.7765021
6/29/18,0.929772128,241.8982759,224.9102748
6/30/18,0.95325841,250.2467799,238.5498474
7/1/18,0.871796621,209.9172491,183.0051484
7/2/18,0.884520229,211.6492946,187.2080826
7/3/18,0.845947398,208.1182014,176.057051
7/4/18,0.817802925,206.7739136,169.1003113
7/5/18,0.829219242,201.7176259,167.2681369
7/6/18,0.864690229,197.8085932,171.0431577
7/7/18,0.911305741,205.3090133,187.0992825
7/8/18,0.831476257,219.8967352,182.8389143
7/9/18,0.941225133,262.6321416,247.1959724
7/10/18,0.973544153,302.9797803,294.9641937
7/11/18,1.011165711,302.6443583,306.0235977
7/12/18,0.932152121,271.6462654,253.2156425
7/13/18,0.920708417,232.8368241,214.3748238
7/14/18,0.941194647,236.3518853,222.4531292
7/15/18,0.864360564,253.7834031,219.3603655
7/16/18,1.017574536,286.5676322,291.6039255
7/17/18,0.950414923,313.6717479,298.11831
7/18/18,0.932560843,303.2368384,282.7868017
7/19/18,0.979000155,264.047823,258.5028597
7/20/18,0.958922648,257.4472823,246.8720295
7/21/18,0.977421072,257.6823785,251.8641866
7/22/18,0.850325531,248.2373812,211.082583
7/23/18,0.940340516,299.0420396,281.2013457
7/24/18,0.956772077,307.4328399,294.1431566
7/25/18,0.964214334,313.3549927,302.1413755
7/26/18,1.011761484,276.4866641,279.7385576
7/27/18,0.96571436,247.2369425,238.7602656
7/28/18,0.92589521,256.8158554,237.7845704
7/29/18,0.904953237,243.4055751,220.2706632
7/30/18,0.943109595,269.6773666,254.3353121
7/31/18,0.975589831,283.2406657,276.3267132
8/1/18,0.963057924,282.1143179,271.6924293
8/2/18,0.976728156,250.8238238,244.9866908
8/3/18,0.986415026,239.9575616,236.6977444
8/4/18,0.968946933,233.9189162,226.6550165
8/5/18,0.878521676,229.0309911,201.2086902
8/6/18,0.946108097,265.1715377,250.8809389
8/7/18,0.930082158,295.7251346,275.0486713
8/8/18,0.922924094,297.7581794,274.8081981
8/9/18,0.940371002,262.9223555,247.2445589
8/10/18,0.971896864,233.1249565,226.573414
8/11/18,0.971246318,249.5480655,242.3726399
8/12/18,0.89420555,221.9043171,198.4280718
8/13/18,0.954170413,255.4672392,243.7592811
8/14/18,0.918223531,285.8214,262.4479352
8/15/18,0.956805663,265.6942095,254.2177243
8/16/18,0.921798171,234.8696624,216.5024252
8/17/18,0.96357619,229.1278558,220.7821462
8/18/18,0.942073064,240.9360795,226.9793905
8/19/18,0.808424534,217.7307299,176.0188638
8/20/18,0.917222136,247.5996199,227.1038522
8/21/18,0.912334522,268.2473622,244.7313289
8/22/18,0.919878572,258.0041129,237.3324549
8/23/18,0.904144577,233.9414801,211.5169205
8/24/18,0.921972821,233.8692455,215.6210879
8/25/18,0.927421072,230.6360884,213.8967683
8/26/18,0.829246628,219.4761577,181.9998638
8/27/18,0.90817496,254.7356271,231.3445179
8/28/18,0.934684028,261.0017164,243.9541357
8/29/18,0.894351263,251.4880513,224.9186564
8/30/18,0.887690281,227.5597874,202.0026115
8/31/18,0.944191598,242.8207613,229.2693227
9/1/18,0.976358704,260.5241571,254.3650284
9/2/18,0.922801116,253.3063884,233.7514179
9/3/18,0.684952204,235.6755867,161.4265125
9/4/18,0.917223686,302.907555,277.8339842
9/5/18,0.973466646,352.8063014,343.4451669
9/6/18,0.912565494,328.5472102,299.8208471
9/7/18,0.897892316,294.4606155,264.3939241
9/8/18,0.910861882,290.4529652,264.5625345
9/9/18,0.793467163,274.8789638,218.1074315
9/10/18,0.843197954,332.0010328,279.9425915
9/11/18,0.961272154,373.8351743,359.3573433
9/12/18,0.94374929,407.2050323,384.29946
9/13/18,0.954813207,353.9095758,337.9175371
9/14/18,0.872030693,307.3218099,267.9940509
9/15/18,0.920760089,299.4371168,275.7097462
9/16/18,0.838996021,275.7408646,231.3454883
9/17/18,0.911362063,317.1940363,289.0786112
9/18/18,0.918106753,331.618833,304.4614902
9/19/18,0.930035137,344.5937343,320.4842808
9/20/18,0.93638919,336.2932803,314.9013925
9/21/18,0.918228182,328.4943707,301.6327887
9/22/18,0.90768098,368.0089965,334.0347665
9/23/18,0.843454762,420.524063,354.6930233
9/24/18,0.918612618,502.2003669,461.3275939
9/25/18,0.946307033,504.0430264,476.9794606
9/26/18,0.968399731,502.0132807,486.1495261
9/27/18,0.959849636,417.0120804,400.2688934
9/28/18,0.92130109,346.280335,319.0284501
9/29/18,1.00638764,323.7534701,325.8214908
9/30/18,0.844649408,301.2396453,254.4418882
10/1/18,0.906382429,346.6980516,314.2410221
10/2/18,0.93255814,379.1532544,353.5824535
10/3/18,1.01873385,404.1655738,411.7371511
10/4/18,1.007596899,356.5615651,359.2703273
10/5/18,0.921317829,330.3071359,304.3178535
10/6/18,0.939302326,346.3019364,325.2822142
10/7/18,0.890801034,294.636456,262.4624595
10/8/18,0.936950904,324.5156886,304.0552679
10/9/18,0.908630491,379.1512428,344.5083799
10/10/18,0.964521964,385.1101156,371.4471649
10/11/18,0.921447028,343.386977,316.4129096
10/12/18,0.914341085,297.527888,272.041972
10/13/18,0.885167959,304.2597418,269.3209746
10/14/18,0.807674419,279.1538575,225.4654296
10/15/18,0.890801034,346.8656441,308.9882743
10/16/18,0.924832041,386.5028516,357.4502212
